"title","revenue"
"Daughter Madigan",38.96
"Dares Pluto",36.96
"Date Speed",35.96
"Virtual Spoilers",34.96
"Firehouse Vietnam",34.96
"Bucket Brotherhood",34.96
"Maker Gables",33.96
"Dawn Pond",33.96
"Bull Shawshank",33.96
"Escape Metropolis",32.96
"Earth Vision",31.96
"Kramer Chocolate",31.96
"Darn Forrester",31.96
"Watership Frontier",31.96
"Curtain Videotape",30.96
"Range Moonwalker",30.96
"Million Ace",30.96
"Hurricane Affair",29.96
"Chisum Behavior",28.96
"Nuts Ties",28.96
"Hustler Party",28.96
"Monterey Labyrinth",28.96
"Snatch Slipper",28.96
"Hunting Musketeers",28.96
"Yentl Idaho",28.96
"Sleuth Orient",27.96
"Bringing Hysterical",27.96
"Fantasy Troopers",27.96
"Whale Bikini",26.97
"Women Dorado",26.96
"Homicide Peach",26.96
"Resurrection Silverado",26.96
"Snowman Rollercoaster",26.96
"Fire Wolves",26.96
"Inch Jet",26.96
"Mod Secretary",26.96
"Dancing Fever",26.96
"Operation Operation",26.96
"Independence Hotel",26.96
"Potluck Mixed",25.97
"Bugsy Song",25.97
"Nightmare Chill",25.96
"Effect Gladiator",25.96
"Rider Caddyshack",25.96
"Shakespeare Saddle",25.96
"Robbery Bright",25.96
"Anonymous Human",25.96
"Thief Pelican",25.96
"Dying Maker",25.96
"Gun Bonnie",25.95
"Aladdin Calendar",24.97
"Sun Confessions",24.96
"Savannah Town",24.96
"Baked Cleopatra",24.96
"Minority Kiss",24.96
"Instinct Airport",24.96
"Varsity Trip",24.96
"Army Flintstones",24.96
"Garden Island",24.96
"Shepherd Midsummer",24.96
"Apollo Teen",24.96
"Brooklyn Desert",24.96
"Earring Instinct",24.96
"Flying Hook",24.96
"Chocolat Harry",24.96
"Element Freddy",24.96
"Truman Crazy",24.96
"Frida Slipper",23.97
"Westward Seabiscuit",23.97
"Waterfront Deliverance",23.97
"Necklace Outbreak",23.97
"Dances None",23.96
"Lawrence Love",23.96
"Ridgemont Submarine",23.96
"Arizona Bang",23.96
"Hoosiers Birdcage",23.96
"Poseidon Forever",23.96
"Chicago North",23.96
"Searchers Wait",23.96
"Intolerable Intentions",23.96
"Volcano Texas",23.96
"Clyde Theory",23.96
"Family Sweet",23.96
"Hope Tootsie",22.97
"Holy Tadpole",22.97
"Spoilers Hellfighters",22.97
"Lawless Vision",22.97
"Stage World",22.97
"Kissing Dolls",22.97
"Island Exorcist",22.96
"Song Hedwig",22.96
"Love Suicides",22.96
"Dangerous Uptown",22.96
"Guys Falcon",22.96
"Sorority Queen",22.96
"Gosford Donnie",22.96
"Sunrise League",22.96
"Fiddler Lost",22.96
"Cincinatti Whisperer",22.96
"Mulholland Beast",22.96
"Steers Armageddon",22.96
"Name Detective",22.96
"Silence Kane",22.96
"Cause Date",22.96
"Moulin Wake",22.96
"Balloon Homeward",22.96
"Sabrina Midnight",22.96
"Frontier Cabin",22.96
"Nash Chocolat",22.96
"Fight Jawbreaker",22.96
"Treatment Jekyll",22.96
"Lovely Jingle",22.96
"Edge Kissing",22.96
"Crusade Honey",22.96
"Darko Dorado",22.96
"Young Language",21.97
"Knock Warlock",21.97
"None Spiking",21.97
"Daisy Menagerie",21.97
"Ties Hunger",21.97
"Requiem Tycoon",21.97
"Entrapment Satisfaction",21.97
"Armageddon Lost",21.96
"Reservoir Adaptation",21.96
"Cyclone Family",21.96
"Treasure Command",21.96
"Wyoming Storm",21.96
"Trouble Date",21.96
"Holiday Games",21.96
"Lost Bird",21.96
"Shawshank Bubble",21.96
"Greedy Roots",21.96
"Splendor Patton",21.96
"Gunfighter Mussolini",21.96
"Anything Savannah",21.96
"Submarine Bed",21.96
"Spy Mile",21.96
"Monsoon Cause",21.96
"Maltese Hope",21.96
"Iron Moon",21.96
"Miracle Virtual",20.97
"Sleeping Suspects",20.97
"Money Harold",20.97
"Galaxy Sweethearts",20.97
"Sleepless Monsoon",20.97
"Badman Dawn",20.97
"Scarface Bang",20.96
"Shining Roses",20.96
"Peach Innocent",20.96
"Chitty Lock",20.96
"Wonderful Drop",20.96
"Daddy Pittsburgh",20.96
"Fever Empire",20.96
"Intrigue Worst",20.96
"Sleepy Japanese",20.96
"Volume House",20.96
"Rush Goodfellas",20.96
"Ballroom Mockingbird",20.96
"Packer Madigan",20.96
"Saturday Lambs",20.96
"Detective Vision",20.96
"Voice Peach",20.96
"Casualties Encino",20.96
"Destination Jerk",20.96
"Comancheros Enemy",20.96
"Craft Outfield",20.96
"Cheaper Clyde",20.96
"Mission Zoolander",19.97
"Elephant Trojan",19.97
"Snatchers Montezuma",19.97
"Circus Youth",19.97
"Antitrust Tomatoes",19.97
"Jet Neighbors",19.97
"Star Operation",19.97
"Sundance Invasion",19.97
"Lola Agent",19.97
"Warlock Werewolf",19.97
"Soup Wisdom",19.97
"Trojan Tomorrow",19.97
"Greek Everyone",19.96
"Wagon Jaws",19.96
"Gone Trouble",19.96
"Wait Cider",19.96
"Menagerie Rushmore",19.96
"Sierra Divide",19.96
"Hanky October",19.96
"Mermaid Insects",19.96
"Panic Club",19.96
"Mine Titans",19.96
"Boogie Amelie",19.96
"Rocky War",19.96
"Coldblooded Darling",19.96
"Cassidy Wyoming",19.96
"Invasion Cyclone",19.96
"Cider Desire",19.96
"Halloween Nuts",19.96
"Early Home",19.96
"Illusion Amelie",19.96
"School Jacket",19.96
"Lord Arizona",19.96
"Igby Maker",19.96
"Bill Others",19.96
"Autumn Crow",19.96
"Motions Details",19.96
"Holocaust Highball",19.96
"Arachnophobia Rollercoaster",19.96
"Side Ark",19.96
"National Story",19.96
"Mourning Purple",19.96
"Sons Interview",18.98
"Chasing Fight",18.97
"Bubble Grosse",18.97
"Thin Sagebrush",18.97
"Killer Innocent",18.97
"Microcosmos Paradise",18.97
"State Wasteland",18.97
"Gables Metropolis",18.97
"Troopers Metal",18.97
"Trip Newton",18.97
"Sinners Atlantis",18.97
"Sensibility Rear",18.97
"Vision Torque",18.97
"Hook Chariots",18.97
"Weekend Personal",18.97
"Virginian Pluto",18.97
"Natural Stock",18.97
"Remember Diary",18.97
"Bulworth Commandments",18.97
"Lights Deer",18.97
"Stampede Disturbing",18.97
"Pacific Amistad",18.97
"Annie Identity",18.96
"Devil Desire",18.96
"Panky Submarine",18.96
"Seattle Expecations",18.96
"Newsies Story",18.96
"Analyze Hoosiers",18.96
"Betrayed Rear",17.98
"Wars Pluto",17.98
"Fish Opus",17.98
"Movie Shakespeare",17.98
"Alamo Videotape",17.98
"Wash Heavenly",17.98
"Ferris Mother",17.97
"Lose Inch",17.97
"Arsenic Independence",17.97
"Dalmations Sweden",17.97
"Darling Breaking",17.97
"Youth Kick",17.97
"Simon North",17.97
"Goodfellas Salute",17.97
"Sagebrush Clueless",17.97
"Jacket Frisco",17.97
"Won Dares",17.97
"Rushmore Mermaid",17.97
"Frogmen Breaking",17.97
"Mulan Moon",17.97
"Christmas Moonshine",17.97
"Lover Truman",17.97
"Duffel Apocalypse",17.96
"October Submarine",17.96
"Chicken Hellfighters",17.96
"Sting Personal",17.96
"Roof Champion",17.96
"Graffiti Love",17.96
"Notting Speakeasy",17.96
"Caribbean Liberty",17.96
"Horror Reign",17.96
"Bilko Anonymous",17.96
"Blackout Private",17.96
"Samurai Lion",17.96
"Everyone Craft",16.98
"Secretary Rouge",16.98
"Sense Greek",16.98
"Majestic Floats",16.98
"Fellowship Autumn",16.98
"Modern Dorado",16.98
"Opus Ice",16.97
"Shock Cabin",16.97
"Gangs Pride",16.97
"Stallion Sundance",16.97
"Shrunk Divine",16.97
"Citizen Shrek",16.97
"Watch Tracy",16.97
"Duck Racer",16.97
"Egypt Tenenbaums",16.97
"Crystal Breaking",16.97
"Mockingbird Hollywood",16.97
"Vanishing Rocky",16.97
"Chocolate Duck",16.97
"Opposite Necklace",16.97
"Voyage Legally",16.97
"Order Betrayed",16.97
"Wrong Behavior",16.97
"Fidelity Devil",16.97
"Finding Anaconda",16.97
"Metal Armageddon",16.97
"Desire Alien",16.97
"Jekyll Frogmen",16.96
"Rollercoaster Bringing",16.96
"Panther Reds",16.96
"Neighbors Charade",16.96
"Cowboy Doom",16.96
"Prejudice Oleander",16.96
"Insects Stone",16.96
"Jersey Sassy",16.96
"Insider Arizona",16.96
"Sassy Packer",16.96
"Confessions Maguire",16.96
"Life Twisted",16.96
"Indian Love",16.96
"Jingle Sagebrush",16.96
"Tuxedo Mile",16.96
"Cat Coneheads",15.98
"Maiden Home",15.98
"Eve Resurrection",15.98
"Squad Fish",15.98
"Coma Head",15.98
"Minds Truman",15.98
"Graceland Dynamite",15.97
"Dwarfs Alter",15.97
"Secrets Paradise",15.97
"Jericho Mulan",15.97
"Cruelty Unforgiven",15.97
"Image Princess",15.97
"Bikini Borrowers",15.97
"Destiny Saturday",15.97
"Amadeus Holy",15.97
"Ark Ridgemont",15.97
"Shane Darkness",15.97
"Sky Miracle",15.97
"Jeopardy Encino",15.97
"Interview Liaisons",15.97
"Shanghai Tycoon",15.97
"Freaky Pocus",15.97
"Grail Frankenstein",15.96
"Cranes Reservoir",15.96
"Room Roman",15.96
"Drifter Commandments",15.96
"Drums Dynamite",15.96
"Gaslight Crusade",15.96
"Eyes Driving",15.96
"Forward Temple",15.96
"Uncut Suicides",15.96
"Deliverance Mulholland",15.96
"Coneheads Smoochy",15.96
"Flight Lies",15.96
"Dracula Crystal",15.96
"Doom Dancing",15.96
"Forrester Comancheros",15.96
"Ice Crossing",15.96
"Anaconda Confessions",15.96
"Dynamite Tarzan",15.96
"Records Zorro",15.96
"Deer Virginian",15.96
"Quills Bull",15.96
"Tomorrow Hustler",15.96
"Jumping Wrath",15.96
"Road Roxanne",15.96
"Doors President",15.96
"Eagles Panky",15.96
"Cupboard Sinners",14.98
"Commandments Express",14.98
"Ladybugs Armageddon",14.98
"Attraction Newton",14.98
"Fireball Philadelphia",14.98
"Random Go",14.98
